date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:39	111324/111324	---M-Z	200	added ('OK')	font/opentype	etag:W/%22b5e2e7d635ea257d38e9d97a8eb91d42cb6556d5%22	https://use.typekit.net/af/a358fc/00000000000000000000d836/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/a358fc/00000000000000000000d836/27/a652f	(from https://use.typekit.net/cyz8hzw.css)
12:16:39	42004/42004	---M--	200	added ('OK')	application/font-woff2	etag:%22be9fd24d292348f32a2a9dfffc60513140a4825c%22	https://use.typekit.net/af/27d1c7/00000000000000000000d837/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/27d1c7/00000000000000000000d837/27/le265	(from https://use.typekit.net/cyz8hzw.css)
12:16:39	51732/51732	---M--	200	added ('OK')	application/font-woff	etag:%22be9fd24d292348f32a2a9dfffc60513140a4825c%22	https://use.typekit.net/af/27d1c7/00000000000000000000d837/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/27d1c7/00000000000000000000d837/27/de265	(from https://use.typekit.net/cyz8hzw.css)
12:16:40	104284/104284	---MCZ	200	added ('OK')	font/opentype	etag:W/%22be9fd24d292348f32a2a9dfffc60513140a4825c%22	https://use.typekit.net/af/27d1c7/00000000000000000000d837/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/27d1c7/00000000000000000000d837/27/ae265	(from https://use.typekit.net/cyz8hzw.css)
12:16:41	28828/28828	---M--	200	added ('OK')	application/font-woff2	etag:%22696748adcedb26a257e48d2849d382c9e8f0b56e%22	https://use.typekit.net/af/daa52e/0000000000000000000132c5/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/daa52e/0000000000000000000132c5/27/l3eab	(from https://use.typekit.net/cyz8hzw.css)
12:16:52	29720/29720	---M--	200	added ('OK')	application/font-woff	etag:%22696748adcedb26a257e48d2849d382c9e8f0b56e%22	https://use.typekit.net/af/daa52e/0000000000000000000132c5/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/daa52e/0000000000000000000132c5/27/d3eab	(from https://use.typekit.net/cyz8hzw.css)
12:16:54	57328/57328	---M-Z	200	added ('OK')	font/opentype	etag:W/%22696748adcedb26a257e48d2849d382c9e8f0b56e%22	https://use.typekit.net/af/daa52e/0000000000000000000132c5/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/daa52e/0000000000000000000132c5/27/a3eab	(from https://use.typekit.net/cyz8hzw.css)
12:16:57	28416/28416	---M--	200	added ('OK')	application/font-woff2	etag:%22f71436277a67bbefba734d33d07e7f49156856bc%22	https://use.typekit.net/af/dcfc24/0000000000000000000132c7/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/dcfc24/0000000000000000000132c7/27/le003	(from https://use.typekit.net/cyz8hzw.css)
12:17:00	29444/29444	---M--	200	added ('OK')	application/font-woff	etag:%22f71436277a67bbefba734d33d07e7f49156856bc%22	https://use.typekit.net/af/dcfc24/0000000000000000000132c7/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/dcfc24/0000000000000000000132c7/27/de003	(from https://use.typekit.net/cyz8hzw.css)
12:17:02	58292/58292	---M-Z	200	added ('OK')	font/opentype	etag:W/%22f71436277a67bbefba734d33d07e7f49156856bc%22	https://use.typekit.net/af/dcfc24/0000000000000000000132c7/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	D:/Desktop/Dela%20Divine/use.typekit.net/af/dcfc24/0000000000000000000132c7/27/ae003	(from https://use.typekit.net/cyz8hzw.css)
